method,SD1.5,SD2.1,SDXL,SD3,Flux.1,online_mean,final_holdout,average_forgetting
source,0.731111 +/- 0.004073,0.705333 +/- 0.003464,0.573556 +/- 0.001018,0.578222 +/- 0.002143,0.538444 +/- 0.003791,0.625333 +/- 0.001392,0.629200 +/- 0.004176,0.000000 +/- 0.000000
tent,0.878222 +/- 0.008953,0.892889 +/- 0.024516,0.759111 +/- 0.041763,0.812000 +/- 0.045860,0.745333 +/- 0.059228,0.817511 +/- 0.035668,0.826400 +/- 0.052295,0.009000 +/- 0.005679
eata,0.870667 +/- 0.002667,0.876667 +/- 0.010263,0.748667 +/- 0.007860,0.784222 +/- 0.006012,0.688889 +/- 0.009896,0.793822 +/- 0.000616,0.793067 +/- 0.000611,0.000000 +/- 0.000000
cotta,0.876889 +/- 0.007343,0.897556 +/- 0.016604,0.797333 +/- 0.055582,0.814889 +/- 0.017516,0.736889 +/- 0.023947,0.824711 +/- 0.019245,0.837333 +/- 0.017845,0.005167 +/- 0.003403
rotta,0.823333 +/- 0.007572,0.884889 +/- 0.002776,0.740444 +/- 0.013537,0.786667 +/- 0.011681,0.702889 +/- 0.008009,0.787644 +/- 0.000983,0.788933 +/- 0.001286,0.023333 +/- 0.006429
lame,0.654667 +/- 0.009018,0.608222 +/- 0.006406,0.517778 +/- 0.002143,0.524889 +/- 0.001925,0.507111 +/- 0.002776,0.562533 +/- 0.002533,0.565733 +/- 0.006018,0.000000 +/- 0.000000
t2a,0.854222 +/- 0.005048,0.829111 +/- 0.018860,0.721556 +/- 0.039723,0.727778 +/- 0.034962,0.599111 +/- 0.033027,0.746356 +/- 0.018407,0.697600 +/- 0.027279,0.037000 +/- 0.001500
