method,SD1.5,SD2.1,SDXL,SD3,Flux.1,online_mean,final_holdout,average_forgetting
source,0.942439 +/- 0.002588,0.953420 +/- 0.001152,0.887999 +/- 0.007213,0.890950 +/- 0.007203,0.824498 +/- 0.008322,0.899861 +/- 0.001754,0.893891 +/- 0.005568,0.000000 +/- 0.000000
tent,0.963947 +/- 0.001325,0.968406 +/- 0.009624,0.866609 +/- 0.030525,0.912017 +/- 0.024489,0.837524 +/- 0.051037,0.909701 +/- 0.023234,0.921041 +/- 0.019930,0.000395 +/- 0.000422
eata,0.959600 +/- 0.002023,0.956468 +/- 0.003529,0.849762 +/- 0.008084,0.889399 +/- 0.004150,0.778106 +/- 0.007547,0.886667 +/- 0.000445,0.884508 +/- 0.006318,0.000000 +/- 0.000000
cotta,0.963317 +/- 0.003649,0.963785 +/- 0.009032,0.879480 +/- 0.046733,0.897935 +/- 0.010576,0.822907 +/- 0.020499,0.905485 +/- 0.014761,0.912485 +/- 0.014141,0.002494 +/- 0.003489
rotta,0.962449 +/- 0.002991,0.967619 +/- 0.002605,0.874583 +/- 0.006597,0.907245 +/- 0.003715,0.812780 +/- 0.006253,0.904935 +/- 0.000373,0.881742 +/- 0.002335,0.028157 +/- 0.004544
lame,0.940862 +/- 0.002594,0.950956 +/- 0.002348,0.883196 +/- 0.007520,0.891077 +/- 0.007360,0.825908 +/- 0.008660,0.898400 +/- 0.001599,0.891307 +/- 0.006325,0.000000 +/- 0.000000
t2a,0.949267 +/- 0.002990,0.916489 +/- 0.009694,0.798379 +/- 0.038455,0.805433 +/- 0.038067,0.632941 +/- 0.048468,0.820502 +/- 0.023281,0.762175 +/- 0.038193,0.043617 +/- 0.004438
