track,variant,label,backbone,protocol,paired_baseline,ADM_auc,ADM_balanced_accuracy,BigGAN_auc,BigGAN_balanced_accuracy,glide_auc,glide_balanced_accuracy,Midjourney_auc,Midjourney_balanced_accuracy,stable_diffusion_v_1_5_auc,stable_diffusion_v_1_5_balanced_accuracy,VQDM_auc,VQDM_balanced_accuracy,wukong_auc,wukong_balanced_accuracy,macro_auc,macro_average_precision,macro_accuracy,macro_balanced_accuracy,macro_real_accuracy,macro_fake_accuracy,macro_ece,macro_brier_score,macro_nll,paired_delta_auc,paired_delta_balanced_accuracy,negative_auc_targets,mean_predict_ms_per_sample,mean_adapt_ms_per_sample,mean_total_ms_per_sample,samples_per_second,peak_memory_mb,samples
controlled_resnet50,source,Source,ResNet-50,predict_only,,0.40423076388888896,0.4905,0.5545090555555555,0.48724999999999996,0.6464459305555554,0.535,0.7595048333333334,0.6359166666666667,0.9935193515625,0.9589375,0.4970530972222222,0.5088333333333334,0.9865720694444444,0.9415,0.6916907287946429,0.6897200770435451,0.6511339285714286,0.6511339285714286,0.9413511904761904,0.36091666666666666,0.3204872916332318,0.3276523661419132,3.087137701507467,,,,0.3677381299768802,0.00045266314910722116,0.3681907931259874,2715.983176846631,437.45654296875,88000
controlled_resnet50,tent,TENT,ResNet-50,predict_then_adapt,source,0.3716928888888889,0.40958333333333335,0.05264176388888889,0.1325,0.37286926388888886,0.43141666666666667,0.6828855972222222,0.6299166666666667,0.8907831171874999,0.8339375,0.3742216527777778,0.4101666666666667,0.9142327916666668,0.8536666666666667,0.5227610107886905,0.5702591992622424,0.5287410714285714,0.5287410714285714,0.5972142857142858,0.4602678571428571,0.4505251002388449,0.4559429762491252,5.673231389610834,-0.16892971800595236,-0.12239285714285712,7,0.3684323984662941,0.8768435304433627,1.2452759289096569,803.0348750702855,1743.82470703125,88000
controlled_resnet50,eata,EATA,ResNet-50,predict_then_adapt,source,0.3764471111111111,0.4205833333333333,0.44036004166666665,0.44858333333333333,0.6530906944444445,0.6090833333333334,0.7852133611111112,0.7153333333333334,0.9856017421875,0.940625,0.39629261111111114,0.42666666666666664,0.9691188333333333,0.9081666666666667,0.6580177707093254,0.6613317788819572,0.6384345238095238,0.6384345238095238,0.67275,0.6041190476190476,0.31831732637424964,0.33200283581254136,2.8189141423449726,-0.03367295808531746,-0.012699404761904747,5,0.3769175536462254,0.5839274785535467,0.9608450321997721,1040.7505544474595,1748.119140625,88000
controlled_resnet50,t2a,T2A,ResNet-50,predict_then_adapt,source,0.4225732777777778,0.4519166666666667,0.41362044444444446,0.4364166666666667,0.5867111805555556,0.5650833333333334,0.6943276527777777,0.6363333333333334,0.7204806953124999,0.6327499999999999,0.438805875,0.46399999999999997,0.7885226111111111,0.68425,0.5807202481398809,0.588857929205198,0.5529642857142857,0.5529642857142857,0.5531845238095238,0.5527440476190476,0.28189941770275195,0.34275548879752826,1.6867143979265915,-0.11097048065476191,-0.09816964285714284,6,0.4492567840452466,2.865510490557178,3.3147672746024246,301.6803042741336,3339.8642578125,88000
iapl_clip_vitl14,iapl_static,IAPL Static,CLIP ViT-L/14,predict_only_single_view,,0.9348219861111111,0.8305,0.9886809444444444,0.9526666666666668,0.9773577361111111,0.9336666666666666,0.8938717916666666,0.728,0.9869494843750001,0.9529375,0.9947178472222223,0.9633333333333334,0.9832239027777778,0.938,0.965660527529762,0.9596963098776569,0.8998720238095238,0.8998720238095238,0.9524940476190477,0.84725,0.07897423104352007,0.07820374756551982,0.2735245170966267,,,,10.887241817733162,0.0,10.89631976270357,91.77410554918244,1476.94677734375,88000
iapl_clip_vitl14,iapl_views_only,IAPL Views-only,CLIP ViT-L/14,predict_only_32_views_with_ois,iapl_static,0.9902266666666667,0.8625833333333334,0.9987807083333333,0.9639166666666668,0.9963946805555556,0.9583333333333333,0.9883811388888889,0.9505,0.9995893046875,0.9981875,0.9993376388888888,0.9890000000000001,0.9996992638888889,0.9981666666666666,0.9960584859871032,0.9950949414169755,0.9600982142857143,0.9600982142857143,0.9978809523809524,0.9223154761904763,0.05887334955816291,0.03738790655894042,0.16062108889475,0.03039795845734123,0.06022619047619049,0,76.21177926199644,0.0,76.22032690049573,13.119859762678294,1844.78125,88000
iapl_clip_vitl14,iapl_full,IAPL Full,CLIP ViT-L/14,adapt_then_predict_32_views_2_steps_with_ois,iapl_views_only,0.9865598888888889,0.8552500000000001,0.9987195,0.9659166666666666,0.9969177499999999,0.9603333333333333,0.9852069166666666,0.9480833333333334,0.99967684375,0.9981249999999999,0.9988437222222224,0.988,0.9997234027777777,0.9986666666666666,0.9950925749007936,0.9945574130181417,0.9591964285714286,0.9591964285714285,0.998077380952381,0.9203154761904762,0.055521670207669495,0.03850982287213146,0.16512183253428117,-0.0009659110863095169,-0.0009017857142857537,4,0.3766297981241719,368.9265695428933,369.3101430347729,2.7077512461006075,8437.6474609375,88000
ost_metaxception,ost_static,OST Static,MetaXception,predict_only,,0.4840314027777778,0.48974999999999996,0.5191831944444445,0.506,0.5077744861111111,0.5017499999999999,0.4849285277777778,0.49475,0.51327428125,0.503,0.516568236111111,0.5028333333333334,0.50531125,0.4945,0.5044387683531746,0.5060345804024796,0.4989404761904762,0.49894047619047616,0.09862499999999999,0.8992559523809524,0.012405563452502802,0.2501599247893178,0.6934672407609579,,,,2.5263871821550556,0.0,2.5321455003139075,394.9220137136792,231.81201171875,88000
ost_metaxception,ost_full,OST Full,MetaXception,adapt_then_predict_one_fast_weight_step,ost_static,0.4759360694444444,0.48674999999999996,0.5000439444444444,0.4965,0.5071629305555556,0.5069166666666667,0.5114043472222223,0.5116666666666667,0.499094296875,0.4951875,0.5109393194444445,0.5115833333333333,0.48385575000000003,0.481,0.4983480939980159,0.49897212661985374,0.49851488095238095,0.49851488095238095,0.24570238095238098,0.7513273809523808,0.14587391858170964,0.2804649327203996,0.7634796659807819,-0.006090674355158698,-0.00042559523809523485,6,0.038258329071802356,12.427605111876717,12.471732059110598,80.18132487616266,1136.5849609375,88000
