2026-07-28T15:10:22+08:00,106, 0;
2026-07-28T15:10:23+08:00,106, 0;
2026-07-28T15:10:24+08:00,632, 0;
2026-07-28T15:10:25+08:00,636, 0;
2026-07-28T15:10:26+08:00,636, 0;
2026-07-28T15:10:27+08:00,636, 0;
2026-07-28T15:10:28+08:00,636, 0;
2026-07-28T15:10:29+08:00,636, 0;
2026-07-28T15:10:30+08:00,636, 0;
2026-07-28T15:10:31+08:00,636, 0;
2026-07-28T15:10:32+08:00,636, 0;
2026-07-28T15:10:33+08:00,636, 0;
2026-07-28T15:10:34+08:00,636, 0;
2026-07-28T15:10:35+08:00,636, 0;
2026-07-28T15:10:36+08:00,636, 0;
2026-07-28T15:10:37+08:00,636, 0;
2026-07-28T15:10:38+08:00,636, 0;
2026-07-28T15:10:39+08:00,936, 0;
2026-07-28T15:10:40+08:00,936, 0;
2026-07-28T15:10:41+08:00,936, 0;
2026-07-28T15:10:42+08:00,936, 0;
2026-07-28T15:10:43+08:00,936, 0;
2026-07-28T15:10:44+08:00,936, 0;
2026-07-28T15:10:45+08:00,936, 0;
2026-07-28T15:10:46+08:00,936, 0;
2026-07-28T15:10:47+08:00,936, 0;
2026-07-28T15:10:48+08:00,936, 0;
2026-07-28T15:10:49+08:00,936, 0;
2026-07-28T15:10:50+08:00,936, 0;
2026-07-28T15:10:51+08:00,936, 0;
2026-07-28T15:10:52+08:00,936, 0;
2026-07-28T15:10:53+08:00,936, 0;
2026-07-28T15:10:54+08:00,936, 0;
2026-07-28T15:10:55+08:00,936, 0;
2026-07-28T15:10:56+08:00,936, 0;
2026-07-28T15:10:57+08:00,936, 0;
2026-07-28T15:10:58+08:00,936, 0;
2026-07-28T15:10:59+08:00,1024, 0;
2026-07-28T15:11:00+08:00,1024, 0;
2026-07-28T15:11:01+08:00,1024, 0;
2026-07-28T15:11:02+08:00,1024, 0;
2026-07-28T15:11:03+08:00,1024, 0;
2026-07-28T15:11:04+08:00,1024, 0;
2026-07-28T15:11:05+08:00,1024, 0;
2026-07-28T15:11:06+08:00,1024, 0;
2026-07-28T15:11:07+08:00,1024, 0;
2026-07-28T15:11:08+08:00,1024, 0;
2026-07-28T15:11:09+08:00,1024, 0;
2026-07-28T15:11:10+08:00,1024, 0;
2026-07-28T15:11:11+08:00,1024, 0;
2026-07-28T15:11:12+08:00,1024, 0;
2026-07-28T15:11:13+08:00,1024, 0;
2026-07-28T15:11:14+08:00,1024, 0;
2026-07-28T15:11:16+08:00,3652, 80;
2026-07-28T15:11:17+08:00,3652, 0;
2026-07-28T15:11:18+08:00,3652, 0;
2026-07-28T15:11:19+08:00,3652, 0;
2026-07-28T15:11:20+08:00,3652, 0;
2026-07-28T15:11:21+08:00,3652, 0;
2026-07-28T15:11:22+08:00,3652, 0;
2026-07-28T15:11:23+08:00,3652, 0;
2026-07-28T15:11:24+08:00,3652, 11;
2026-07-28T15:11:25+08:00,3652, 0;
2026-07-28T15:11:26+08:00,3652, 0;
2026-07-28T15:11:27+08:00,5720, 0;
2026-07-28T15:11:28+08:00,5720, 100;
