method,BigGAN,ADM,glide,stable_diffusion_v_1_5,VQDM,wukong,Midjourney,online_mean,final_holdout,average_forgetting
source,0.519778 +/- 0.005092,0.532889 +/- 0.002143,0.614222 +/- 0.018503,0.997333 +/- 0.000667,0.510444 +/- 0.001540,0.994000 +/- 0.000000,0.654889 +/- 0.006577,0.689079 +/- 0.003437,0.690667 +/- 0.001438,0.000000 +/- 0.000000
tent,0.582222 +/- 0.012006,0.581778 +/- 0.012812,0.713778 +/- 0.028019,0.988667 +/- 0.004372,0.472889 +/- 0.009100,0.964444 +/- 0.014550,0.808444 +/- 0.018907,0.730317 +/- 0.007025,0.736190 +/- 0.014062,0.008556 +/- 0.003672
eata,0.578444 +/- 0.009076,0.561333 +/- 0.009615,0.703556 +/- 0.009714,0.995556 +/- 0.001678,0.411556 +/- 0.007191,0.987556 +/- 0.001388,0.823778 +/- 0.006939,0.723111 +/- 0.004042,0.719333 +/- 0.001288,0.000000 +/- 0.000000
cotta,0.575333 +/- 0.024395,0.507111 +/- 0.013001,0.623778 +/- 0.003151,0.847556 +/- 0.019656,0.420889 +/- 0.010839,0.813778 +/- 0.016671,0.624000 +/- 0.030089,0.630349 +/- 0.007041,0.639429 +/- 0.014633,0.008111 +/- 0.004168
rotta,0.615778 +/- 0.006194,0.546889 +/- 0.012371,0.678667 +/- 0.007688,0.992667 +/- 0.001155,0.509333 +/- 0.000667,0.993556 +/- 0.001540,0.729778 +/- 0.031988,0.723810 +/- 0.005886,0.750571 +/- 0.004030,0.010111 +/- 0.002874
lame,0.503111 +/- 0.002524,0.512667 +/- 0.001764,0.548889 +/- 0.013668,0.997333 +/- 0.000667,0.505556 +/- 0.001018,0.993111 +/- 0.002037,0.556222 +/- 0.004730,0.659556 +/- 0.002600,0.659810 +/- 0.002007,0.000000 +/- 0.000000
t2a,0.577556 +/- 0.032757,0.550889 +/- 0.009436,0.648444 +/- 0.042344,0.993778 +/- 0.002037,0.426222 +/- 0.006406,0.979556 +/- 0.004338,0.722667 +/- 0.011096,0.699873 +/- 0.007970,0.638381 +/- 0.017495,0.058556 +/- 0.007456
