method,BigGAN,ADM,glide,stable_diffusion_v_1_5,VQDM,wukong,Midjourney,online_mean,final_holdout,average_forgetting
source,0.855966 +/- 0.010197,0.561844 +/- 0.006639,0.892466 +/- 0.010789,0.999817 +/- 0.000286,0.439288 +/- 0.020451,0.999841 +/- 0.000045,0.897505 +/- 0.002952,0.806675 +/- 0.006318,0.802693 +/- 0.004495,0.000000 +/- 0.000000
tent,0.651595 +/- 0.013576,0.559893 +/- 0.013397,0.829042 +/- 0.031644,0.999236 +/- 0.000713,0.387925 +/- 0.011174,0.998328 +/- 0.000994,0.930705 +/- 0.003410,0.765246 +/- 0.007099,0.778537 +/- 0.014315,0.006465 +/- 0.005496
eata,0.642828 +/- 0.012368,0.552976 +/- 0.007774,0.777809 +/- 0.010712,0.999561 +/- 0.000476,0.370578 +/- 0.007859,0.999303 +/- 0.000324,0.907684 +/- 0.006708,0.750106 +/- 0.005015,0.747752 +/- 0.000334,0.000000 +/- 0.000000
cotta,0.624797 +/- 0.039012,0.485092 +/- 0.022604,0.690173 +/- 0.008311,0.928534 +/- 0.012118,0.377504 +/- 0.010429,0.898524 +/- 0.022014,0.685116 +/- 0.025631,0.669963 +/- 0.005119,0.680431 +/- 0.017016,0.008852 +/- 0.003916
rotta,0.717127 +/- 0.009830,0.510065 +/- 0.006430,0.781182 +/- 0.007494,0.999672 +/- 0.000208,0.424014 +/- 0.021094,0.999825 +/- 0.000044,0.897338 +/- 0.002396,0.761318 +/- 0.004275,0.789221 +/- 0.003853,0.020780 +/- 0.004035
lame,0.851785 +/- 0.006758,0.601901 +/- 0.003284,0.899020 +/- 0.008667,0.999826 +/- 0.000269,0.499140 +/- 0.011374,0.999807 +/- 0.000118,0.906625 +/- 0.001717,0.822586 +/- 0.002908,0.820771 +/- 0.007005,0.000000 +/- 0.000000
t2a,0.632594 +/- 0.038262,0.544449 +/- 0.010852,0.698748 +/- 0.055061,0.999375 +/- 0.000674,0.400294 +/- 0.004241,0.997862 +/- 0.000377,0.782565 +/- 0.013524,0.722270 +/- 0.010834,0.650102 +/- 0.031265,0.076376 +/- 0.015121
