fake_ratio,dataset,ours_static_auc_mean,ours_static_auc_std,ours_auc_mean,ours_auc_std,delta_auc_mean,delta_auc_std,ours_static_accuracy_mean,ours_static_accuracy_std,ours_accuracy_mean,ours_accuracy_std,delta_accuracy_mean,delta_accuracy_std,ours_static_balanced_accuracy_mean,ours_static_balanced_accuracy_std,ours_balanced_accuracy_mean,ours_balanced_accuracy_std,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,ours_static_fake_f1_mean,ours_static_fake_f1_std,ours_fake_f1_mean,ours_fake_f1_std,delta_fake_f1_mean,delta_fake_f1_std,ours_static_macro_f1_mean,ours_static_macro_f1_std,ours_macro_f1_mean,ours_macro_f1_std,delta_macro_f1_mean,delta_macro_f1_std
0.5,genimage,0.8198212797619048,0.006210734956640555,0.828378869047619,0.006212815185675254,0.008557589285714299,0.0037572911421290983,0.6776190476190477,0.0027740905232692993,0.7807738095238096,0.0043898557303552145,0.10315476190476192,0.004759299882771559,0.6776190476190477,0.0027740905232693613,0.7807738095238096,0.0043898557303552145,0.10315476190476187,0.0047592998827715996,0.42005855632949557,0.010732060259008894,0.7468366148077932,0.010257453047084454,0.3267780584782977,0.018611100878887336,0.5976045188034181,0.005808322956417353,0.7760386444410169,0.005202393619601161,0.17843412563759883,0.008281109718288136
0.5,aigc_detection_benchmark,0.8190814950980393,0.002605919635637535,0.8210136642156863,0.00222283814496314,0.0019321691176470424,0.002785493008041501,0.646593137254902,0.0009596456838457326,0.7646813725490196,0.0015724524443476277,0.11808823529411765,0.002437585949154601,0.646593137254902,0.0009596456838457326,0.7646813725490196,0.0015724524443476277,0.11808823529411765,0.002437585949154601,0.3821206108656526,0.0020114361248241637,0.7280139187229745,0.0006846411212188112,0.3458933078573219,0.001421622530031745,0.5660375022987537,0.0012312929153990805,0.7594028443612904,0.0009365399817123888,0.19336534206253667,0.002167688142108975
0.5,aigi_holmes_p3,0.9075176041666667,0.00030460757498715785,0.9073642708333334,0.005304320673374708,-0.00015333333333330165,0.0055295137576312865,0.6709583333333334,0.0006291528696058265,0.8405416666666667,0.004289036410819242,0.16958333333333334,0.004625563028792576,0.6709583333333334,0.0006291528696058854,0.8405416666666667,0.004289036410819242,0.1695833333333333,0.004625563028792631,0.48131666074162277,0.001681233709002376,0.8265597715505981,0.007719855528436107,0.3452431108089753,0.00934188452347573,0.6186097818725019,0.0008807347657220826,0.8392000808054331,0.004856482711617677,0.22059029893293128,0.00573472351350112
0.5,opensdid_global,0.9676810416666667,0.0010182349797361043,0.9648258333333333,0.0037541585969206323,-0.0028552083333333034,0.0028653937565732367,0.8025833333333333,0.0038188130791297855,0.9146666666666666,0.007442837720475574,0.11208333333333335,0.008825861619883534,0.8025833333333333,0.0038188130791299065,0.9146666666666666,0.007442837720475574,0.11208333333333327,0.008825861619883637,0.7222808462955693,0.008127674944549515,0.9120015859624825,0.008360582092244457,0.18972073966691302,0.011681807442944319,0.7836436156903669,0.00514840224138723,0.9144963890459811,0.007515170128109389,0.1308527733556142,0.009623286660695283
0.5,four_dataset_macro,0.8785253551733193,0.002070063572981273,0.8803956593574931,0.001471857854212648,0.0018703041841736656,0.003189300195676126,0.699438462885154,0.0010720368100399194,0.8251658788515406,0.00232728525714164,0.12572741596638656,0.0032620219915074225,0.699438462885154,0.0010720368100399194,0.8251658788515406,0.00232728525714164,0.12572741596638656,0.0032620219915074225,0.501444168558085,0.0037568126141669044,0.803352972760962,0.004434823682440677,0.30190880420287697,0.007553008078912353,0.6414738546662601,0.0020735451851211875,0.8222844896634305,0.0027515013545619704,0.1808106349971703,0.004604229133432073
0.75,genimage,0.8205823412698413,0.002132302905153786,0.8287789682539684,0.004623345077351525,0.008196626984127006,0.005034408755586807,0.5223809523809524,0.002160148489479059,0.719345238095238,0.002261121418240813,0.19696428571428573,0.0021943224513293904,0.6798412698412699,0.0006975553901288149,0.7772619047619047,0.0035134177531841696,0.09742063492063491,0.0037159896376537565,0.42591421314302763,0.005815446937158579,0.7600495008864195,0.0019836135807474635,0.334135287743392,0.003905137261050322,0.50445278908433,0.0029080843937625933,0.7084445097797679,0.002149575831984931,0.20399172069543803,0.0036761836299611774
0.75,aigc_detection_benchmark,0.8204007352941177,0.0010904788577837576,0.8183016339869281,0.0045219653288420284,-0.002099101307189525,0.005125958889096936,0.4773039215686275,0.00037008992329760947,0.6837990196078431,0.011022628633127958,0.20649509803921565,0.010664637881963075,0.6466013071895426,0.00039622077297331055,0.7545915032679739,0.005965574163424748,0.10799019607843137,0.005778702828677128,0.38515937819223717,0.0013145312559826139,0.7256530516179974,0.012944491905940088,0.34049367342576026,0.012279799968530713,0.46005336428259297,0.0004833331468349508,0.6731969893454153,0.009948216273493132,0.21314362506282233,0.009521856159409866
0.75,aigi_holmes_p3,0.9050752777777777,0.0010209290204587153,0.9004949999999999,0.0035973191937809573,-0.004580277777777845,0.0028525074962573167,0.5095,0.0012686114456365628,0.7572083333333334,0.016194777964928474,0.24770833333333334,0.017352203270286273,0.6713333333333334,0.0008457409637577012,0.8154166666666667,0.00802253769770579,0.14408333333333337,0.0088674655028618,0.48386202814497487,0.0024317448979020227,0.8043010485102148,0.016915737356421146,0.32043902036524,0.01932526685328184,0.49982451297029673,0.0014125073111227449,0.7389778369340808,0.014680357699095828,0.2391533239637841,0.01608640028731782
0.75,opensdid_global,0.9656219444444445,0.0024877480799428055,0.9581788888888889,0.0053493772569372265,-0.0074430555555555404,0.003466426507439827,0.70725,0.004337337893224338,0.8645833333333334,0.010554422453802548,0.15733333333333324,0.006236652414022495,0.8032777777777778,0.002428610332710411,0.8942777777777778,0.006019259213680835,0.09099999999999997,0.0036094013046180343,0.7252953537221055,0.005577274922024458,0.8935796611072547,0.011091473663662218,0.16828430738514907,0.0056330423896331396,0.6998424403870583,0.004298578571218041,0.8494617825352405,0.009573708687668499,0.1496193421481823,0.005365857632847866
0.75,four_dataset_macro,0.8779200746965453,0.0006234133196150877,0.8764386227824463,0.0033867200025052254,-0.0014814519140989857,0.0034223169973840507,0.5541087184873948,0.00043909989541834123,0.756233981092437,0.00853936147382772,0.20212526260504204,0.008135764585925062,0.7002634220354809,0.0003021127596616816,0.8103869631185807,0.005363880993542689,0.11012354108309992,0.005089138261671962,0.5050577433005863,0.00045356830893991136,0.7958958155304717,0.009106669299106354,0.2908380722298854,0.00942624467966611,0.5410432766810694,0.00016115636100866063,0.7425202796486262,0.007947069076147405,0.20147700296755666,0.00779301919791613
0.9,genimage,0.8200285218253969,0.003613582971428328,0.8267166832010582,0.004041776947707017,0.006688161375661417,0.004260815312332184,0.4283928571428571,0.0031592510737418213,0.65625,0.009721898277725835,0.22785714285714287,0.0077776006215652,0.6800595238095238,0.0011267675289286217,0.7680224867724869,0.0022996479696711764,0.08796296296296295,0.0025685313795147666,0.42684106603604893,0.005615202310427877,0.7431178425393021,0.009456891028980357,0.3162767765032531,0.004889935867413122,0.4146785202534349,0.0037226309199354423,0.6034026534010654,0.006149687863369159,0.1887241331476306,0.005135368578063498
0.9,aigc_detection_benchmark,0.8188825912309369,0.0020917511047261095,0.8126257829520697,0.004270391563971998,-0.006256808278867099,0.0022792409412724624,0.375171568627451,0.0004784122866652829,0.5764460784313725,0.01083313924943705,0.20127450980392156,0.011297318148444558,0.6453567538126361,0.0012459708369944853,0.7259123093681917,0.004842079329442794,0.0805555555555556,0.0059107938536646755,0.385512871411636,6.170933003972602e-05,0.6671133829900692,0.014107906234820734,0.28160051157843324,0.014053241211768841,0.3607434090892722,0.0005548719810913176,0.5278765463270317,0.00954977660937336,0.1671331372377595,0.010086980014716489
0.9,aigi_holmes_p3,0.9020818865740741,0.002442365950777206,0.8949348958333333,0.005145493816936259,-0.0071469907407408035,0.004951256512705344,0.4114583333333333,0.0016645820296198428,0.5968333333333332,0.015436023883543787,0.18537499999999996,0.016887495373796583,0.6708101851851852,0.0013912017778996827,0.7599074074074075,0.007783149599967465,0.08909722222222223,0.006981843737531601,0.48262845192717263,0.0025801927067531246,0.687925079217532,0.017398893183228924,0.20529662729035936,0.01920878054059863,0.37520411180788527,0.0014342076622030852,0.5257049855083653,0.010623431391121532,0.15050087370048001,0.011791852233088432
0.9,opensdid_global,0.9618269675925926,0.0018226904070341833,0.9611116898148149,0.003045960972693273,-0.0007152777777778008,0.0016101932176323826,0.6485,0.0032499999999999964,0.7296666666666667,0.012811941044718177,0.08116666666666665,0.012135519491695989,0.8017592592592592,0.0032582200573912316,0.8427777777777777,0.003760273991855778,0.0410185185185186,0.005713608223359472,0.72447154147665,0.0028774883007852883,0.7931858010773715,0.009411061006521629,0.06871425960072149,0.008510249066938284,0.5941515552533159,0.0033308998858608773,0.6672204550436183,0.015671997071282414,0.07306889979030233,0.0151181525627437
0.9,four_dataset_macro,0.8757049918057501,0.0022609004415165626,0.8738472629503189,0.0033155763628852884,-0.0018577288554311178,0.0018610819004919157,0.4658806897759103,0.0009242295320347816,0.6397990196078431,0.006917806696996199,0.17391832983193278,0.007626002366187749,0.6994964305166511,0.0011098160401316233,0.7741549953314659,0.004140558107054455,0.07465856481481485,0.004218493031519539,0.504863482712877,0.0015899553890857845,0.7228355264560687,0.006606198501938054,0.2179720437431918,0.008048890262511035,0.43619439910097707,0.0009129457494322052,0.5810511600700202,0.006902275345639164,0.14485676096904312,0.007765959150200403
