method,Janus,Janus-Pro-1B,Janus-Pro-7B,Show-o,LlamaGen,Infinity,VAR,PixArt-XL,SD3.5-L,FLUX,online_mean,final_holdout,average_forgetting
source,0.544346 +/- 0.002224,0.459365 +/- 0.006014,0.464040 +/- 0.005796,0.945045 +/- 0.002422,0.931566 +/- 0.004640,0.939183 +/- 0.002428,0.670695 +/- 0.002714,0.964886 +/- 0.001147,0.925767 +/- 0.002708,0.954009 +/- 0.002885,0.779890 +/- 0.000715,0.781204 +/- 0.001864,0.000000 +/- 0.000000
tent,0.647911 +/- 0.029623,0.614663 +/- 0.085136,0.548097 +/- 0.096621,0.941770 +/- 0.006316,0.803801 +/- 0.021066,0.869790 +/- 0.023551,0.614899 +/- 0.014953,0.942270 +/- 0.011579,0.865944 +/- 0.029079,0.928981 +/- 0.014524,0.777813 +/- 0.021023,0.782099 +/- 0.033064,0.018901 +/- 0.014591
eata,0.627702 +/- 0.001917,0.593099 +/- 0.012672,0.555062 +/- 0.001463,0.938763 +/- 0.001031,0.825946 +/- 0.007014,0.878863 +/- 0.010297,0.650721 +/- 0.002793,0.944373 +/- 0.002331,0.873774 +/- 0.003868,0.924220 +/- 0.001949,0.781252 +/- 0.000871,0.785313 +/- 0.002406,0.000000 +/- 0.000000
cotta,0.588927 +/- 0.060415,0.613071 +/- 0.194275,0.580630 +/- 0.133037,0.669347 +/- 0.059744,0.758750 +/- 0.041060,0.607491 +/- 0.095539,0.460239 +/- 0.034782,0.706945 +/- 0.063216,0.502239 +/- 0.090878,0.654741 +/- 0.068382,0.614238 +/- 0.068641,0.628409 +/- 0.072604,0.004376 +/- 0.000835
rotta,0.598722 +/- 0.008930,0.571551 +/- 0.023284,0.654292 +/- 0.014347,0.938177 +/- 0.003032,0.868966 +/- 0.006538,0.873756 +/- 0.002015,0.639711 +/- 0.004024,0.953408 +/- 0.001859,0.880435 +/- 0.008477,0.930838 +/- 0.000200,0.790986 +/- 0.003684,0.750890 +/- 0.006441,0.091258 +/- 0.008119
lame,0.491628 +/- 0.003571,0.364972 +/- 0.002664,0.316661 +/- 0.010652,0.947192 +/- 0.002161,0.929902 +/- 0.005341,0.938977 +/- 0.002921,0.651550 +/- 0.004883,0.960684 +/- 0.002115,0.924621 +/- 0.001965,0.955399 +/- 0.003124,0.748159 +/- 0.000641,0.750127 +/- 0.002494,0.000000 +/- 0.000000
t2a,0.625249 +/- 0.026148,0.567915 +/- 0.022160,0.562646 +/- 0.023303,0.901629 +/- 0.053864,0.775226 +/- 0.025044,0.754175 +/- 0.044248,0.599009 +/- 0.035741,0.873015 +/- 0.040776,0.728956 +/- 0.040531,0.749296 +/- 0.015715,0.713712 +/- 0.022153,0.657652 +/- 0.037377,0.081471 +/- 0.054910
