method,Janus,Janus-Pro-1B,Janus-Pro-7B,Show-o,LlamaGen,Infinity,VAR,PixArt-XL,SD3.5-L,FLUX,online_mean,final_holdout,average_forgetting
source,0.497556 +/- 0.000385,0.499111 +/- 0.000385,0.498000 +/- 0.000000,0.706222 +/- 0.003672,0.652000 +/- 0.000667,0.634889 +/- 0.002341,0.507111 +/- 0.001388,0.697556 +/- 0.004730,0.720444 +/- 0.004914,0.708000 +/- 0.002404,0.612089 +/- 0.000505,0.610933 +/- 0.001514,0.000000 +/- 0.000000
tent,0.586000 +/- 0.032830,0.547778 +/- 0.061037,0.496444 +/- 0.043499,0.782667 +/- 0.030022,0.698444 +/- 0.017338,0.696889 +/- 0.050037,0.560222 +/- 0.016362,0.756222 +/- 0.043621,0.712667 +/- 0.055442,0.742444 +/- 0.056609,0.657978 +/- 0.033560,0.650600 +/- 0.043721,0.018000 +/- 0.010215
eata,0.578889 +/- 0.007954,0.545778 +/- 0.015696,0.504889 +/- 0.006678,0.858444 +/- 0.002143,0.747556 +/- 0.009646,0.780444 +/- 0.015295,0.596444 +/- 0.008494,0.858222 +/- 0.002341,0.788889 +/- 0.006301,0.832889 +/- 0.001678,0.709244 +/- 0.002450,0.710133 +/- 0.004826,0.000000 +/- 0.000000
cotta,0.557333 +/- 0.033592,0.571778 +/- 0.126094,0.535111 +/- 0.098708,0.601111 +/- 0.041098,0.688667 +/- 0.030052,0.561556 +/- 0.063506,0.482222 +/- 0.021565,0.639333 +/- 0.053421,0.490444 +/- 0.051231,0.590889 +/- 0.054080,0.571844 +/- 0.046643,0.584067 +/- 0.054452,0.007407 +/- 0.001264
rotta,0.555333 +/- 0.011015,0.521778 +/- 0.017350,0.517111 +/- 0.003791,0.857111 +/- 0.003355,0.738889 +/- 0.012725,0.768444 +/- 0.005670,0.586222 +/- 0.004439,0.877556 +/- 0.009100,0.794222 +/- 0.005092,0.843333 +/- 0.001764,0.706000 +/- 0.002080,0.673933 +/- 0.014552,0.055111 +/- 0.011420
lame,0.500000 +/- 0.000000,0.499778 +/- 0.000385,0.500000 +/- 0.000000,0.592889 +/- 0.006711,0.557778 +/- 0.001388,0.531778 +/- 0.001925,0.499778 +/- 0.000770,0.574000 +/- 0.006429,0.629111 +/- 0.007954,0.590000 +/- 0.009955,0.547511 +/- 0.001996,0.545800 +/- 0.000872,0.000000 +/- 0.000000
t2a,0.582667 +/- 0.020133,0.540222 +/- 0.009341,0.521111 +/- 0.017183,0.826222 +/- 0.056144,0.703778 +/- 0.024307,0.687333 +/- 0.031013,0.574889 +/- 0.027458,0.798667 +/- 0.041478,0.666667 +/- 0.036191,0.680444 +/- 0.017402,0.658200 +/- 0.019213,0.619467 +/- 0.027513,0.063481 +/- 0.040465
