2026/07/24 22:54:57.051, 27, 8192, 0
2026/07/24 22:54:59.110, 27, 8192, 0
2026/07/24 22:55:01.160, 27, 8192, 0
2026/07/24 22:55:03.207, 27, 8192, 0
2026/07/24 22:55:05.245, 27, 8192, 0
2026/07/24 22:55:07.291, 27, 8192, 0
2026/07/24 22:55:09.340, 27, 8192, 0
2026/07/24 22:55:11.390, 27, 8192, 0
2026/07/24 22:55:13.438, 27, 8192, 0
2026/07/24 22:55:15.486, 27, 8192, 0
2026/07/24 22:55:17.534, 27, 8192, 0
2026/07/24 22:55:19.582, 27, 8192, 0
2026/07/24 22:55:21.631, 27, 8192, 0
2026/07/24 22:55:23.679, 27, 8192, 0
2026/07/24 22:55:25.729, 27, 8192, 0
2026/07/24 22:55:27.775, 27, 8192, 0
2026/07/24 22:55:29.824, 30, 8192, 0
2026/07/24 22:55:31.874, 30, 8192, 0
2026/07/24 22:55:33.912, 30, 8192, 0
2026/07/24 22:55:35.954, 305, 8192, 0
2026/07/24 22:55:37.993, 305, 8192, 0
2026/07/24 22:55:40.033, 305, 8192, 0
2026/07/24 22:55:42.074, 305, 8192, 0
2026/07/24 22:55:44.114, 305, 8192, 0
2026/07/24 22:55:46.155, 305, 8192, 0
2026/07/24 22:55:48.193, 305, 8192, 0
2026/07/24 22:55:50.230, 305, 8192, 0
2026/07/24 22:55:52.347, 305, 8192, 0
2026/07/24 22:55:54.389, 305, 8192, 0
2026/07/24 22:55:56.440, 305, 8192, 0
2026/07/24 22:55:58.486, 305, 8192, 0
2026/07/24 22:56:00.631, 305, 8192, 0
2026/07/24 22:56:02.684, 305, 8192, 0
2026/07/24 22:56:04.734, 305, 8192, 0
2026/07/24 22:56:06.772, 305, 8192, 0
2026/07/24 22:56:08.814, 305, 8192, 0
2026/07/24 22:56:10.861, 2411, 8192, 6
2026/07/24 22:56:12.900, 2411, 8192, 0
2026/07/24 22:56:14.938, 2411, 8192, 0
2026/07/24 22:56:16.978, 2411, 8192, 0
2026/07/24 22:56:19.018, 2411, 8192, 0
2026/07/24 22:56:21.057, 2411, 8192, 60
2026/07/24 22:56:23.097, 2455, 8192, 0
2026/07/24 22:56:25.135, 2455, 8192, 0
2026/07/24 22:56:27.176, 1963, 8192, 2
2026/07/24 22:56:29.215, 7857, 8192, 0
2026/07/24 22:56:31.253, 7857, 8192, 0
