method,dataset,target,auc_mean,auc_std,accuracy_mean,accuracy_std,ap_mean,ap_std
rine,aigc_detection_benchmark,ProGAN,0.79430450,0.00000000,0.52150000,0.00000000,0.77811730,0.00000000
rine,aigc_detection_benchmark,StyleGAN,0.73770600,0.00000000,0.50700000,0.00000000,0.71051135,0.00000000
rine,aigc_detection_benchmark,BigGAN,0.78263600,0.00000000,0.50450000,0.00000000,0.74789315,0.00000000
rine,aigc_detection_benchmark,CycleGAN,0.84386100,0.00000000,0.58050000,0.00000000,0.82824911,0.00000000
rine,aigc_detection_benchmark,StarGAN,0.78913800,0.00000000,0.50100000,0.00000000,0.77491458,0.00000000
rine,aigc_detection_benchmark,GauGAN,0.83985750,0.00000000,0.50900000,0.00000000,0.82049343,0.00000000
rine,aigc_detection_benchmark,StyleGAN2,0.75145350,0.00000000,0.50500000,0.00000000,0.72517561,0.00000000
rine,aigc_detection_benchmark,WFIR,0.71423350,0.00000000,0.50750000,0.00000000,0.66985582,0.00000000
rine,aigc_detection_benchmark,ADM,0.62163800,0.00000000,0.49950000,0.00000000,0.60201150,0.00000000
rine,aigc_detection_benchmark,GLIDE,0.83415050,0.00000000,0.51000000,0.00000000,0.80585395,0.00000000
rine,aigc_detection_benchmark,Midjourney,0.84787400,0.00000000,0.53000000,0.00000000,0.84839329,0.00000000
rine,aigc_detection_benchmark,SD v1.4,0.99131800,0.00000000,0.79950000,0.00000000,0.99081877,0.00000000
rine,aigc_detection_benchmark,SD v1.5,0.99175900,0.00000000,0.79550000,0.00000000,0.99166743,0.00000000
rine,aigc_detection_benchmark,VQDM,0.75577650,0.00000000,0.50650000,0.00000000,0.72799887,0.00000000
rine,aigc_detection_benchmark,Wukong,0.97874350,0.00000000,0.69050000,0.00000000,0.97896046,0.00000000
rine,aigc_detection_benchmark,DALL-E2,0.69060600,0.00000000,0.50300000,0.00000000,0.66868759,0.00000000
rine,aigc_detection_benchmark,SDXL,0.93342200,0.00000000,0.53550000,0.00000000,0.92460798,0.00000000
rine,aigc_detection_benchmark,Mean,0.81755750,0.00000000,0.55917647,0.00000000,,
rine,aigi_holmes_p3,Janus,0.72541500,0.00000000,0.50200000,0.00000000,0.68033041,0.00000000
rine,aigi_holmes_p3,Janus-Pro-1B,0.83231550,0.00000000,0.51750000,0.00000000,0.82054312,0.00000000
rine,aigi_holmes_p3,Janus-Pro-7B,0.81272700,0.00000000,0.50550000,0.00000000,0.77256679,0.00000000
rine,aigi_holmes_p3,Show-o,0.95275850,0.00000000,0.54950000,0.00000000,0.94818665,0.00000000
rine,aigi_holmes_p3,LlamaGen,0.95020750,0.00000000,0.53850000,0.00000000,0.93858732,0.00000000
rine,aigi_holmes_p3,Infinity,0.91714850,0.00000000,0.51400000,0.00000000,0.89039397,0.00000000
rine,aigi_holmes_p3,VAR,0.69780950,0.00000000,0.50400000,0.00000000,0.67842281,0.00000000
rine,aigi_holmes_p3,PixArt-XL,0.93330350,0.00000000,0.53150000,0.00000000,0.91823728,0.00000000
rine,aigi_holmes_p3,SD3.5-L,0.88521950,0.00000000,0.50350000,0.00000000,0.86354450,0.00000000
rine,aigi_holmes_p3,FLUX,0.89690350,0.00000000,0.52500000,0.00000000,0.87692165,0.00000000
rine,aigi_holmes_p3,Mean,0.86038080,0.00000000,0.51910000,0.00000000,,
rine,opensdid_global,SD1.5,0.98427600,0.00000000,0.71250000,0.00000000,0.98465504,0.00000000
rine,opensdid_global,SD2.1,0.95856500,0.00000000,0.60800000,0.00000000,0.95517216,0.00000000
rine,opensdid_global,SDXL,0.92110900,0.00000000,0.52700000,0.00000000,0.90457785,0.00000000
rine,opensdid_global,SD3,0.91893600,0.00000000,0.53250000,0.00000000,0.91127780,0.00000000
