2026-08-03T05:54:48+08:00,17, 0;
2026-08-03T05:54:49+08:00,17, 0;
2026-08-03T05:54:50+08:00,17, 0;
2026-08-03T05:54:51+08:00,20, 0;
2026-08-03T05:54:52+08:00,283, 1;
2026-08-03T05:54:53+08:00,1159, 0;
2026-08-03T05:54:54+08:00,1911, 0;
2026-08-03T05:54:55+08:00,1911, 0;
2026-08-03T05:54:56+08:00,1911, 0;
2026-08-03T05:54:57+08:00,1911, 0;
2026-08-03T05:54:58+08:00,1911, 0;
2026-08-03T05:54:59+08:00,1911, 0;
2026-08-03T05:55:00+08:00,1911, 0;
2026-08-03T05:55:01+08:00,1911, 0;
2026-08-03T05:55:02+08:00,1911, 0;
2026-08-03T05:55:03+08:00,1911, 0;
2026-08-03T05:55:04+08:00,1911, 0;
2026-08-03T05:55:05+08:00,1911, 0;
2026-08-03T05:55:06+08:00,1911, 0;
2026-08-03T05:55:07+08:00,1911, 0;
2026-08-03T05:55:08+08:00,1911, 0;
2026-08-03T05:55:09+08:00,1911, 0;
2026-08-03T05:55:10+08:00,1911, 0;
2026-08-03T05:55:11+08:00,1911, 0;
2026-08-03T05:55:12+08:00,1911, 0;
2026-08-03T05:55:13+08:00,1911, 0;
2026-08-03T05:55:14+08:00,1911, 0;
2026-08-03T05:55:15+08:00,1911, 0;
2026-08-03T05:55:17+08:00,1911, 0;
2026-08-03T05:55:18+08:00,1911, 0;
2026-08-03T05:55:19+08:00,1911, 0;
2026-08-03T05:55:20+08:00,2965, 17;
2026-08-03T05:55:21+08:00,5107, 23;
2026-08-03T05:55:22+08:00,11303, 100;
2026-08-03T05:55:23+08:00,11303, 100;
2026-08-03T05:55:24+08:00,11303, 100;
2026-08-03T05:55:25+08:00,11303, 100;
2026-08-03T05:55:26+08:00,11303, 100;
2026-08-03T05:55:27+08:00,11303, 100;
2026-08-03T05:55:28+08:00,11303, 100;
2026-08-03T05:55:29+08:00,11303, 100;
2026-08-03T05:55:30+08:00,11303, 100;
2026-08-03T05:55:31+08:00,11863, 100;
2026-08-03T05:55:32+08:00,12423, 100;
2026-08-03T05:55:33+08:00,12423, 100;
2026-08-03T05:55:34+08:00,12423, 79;
2026-08-03T05:55:35+08:00,12423, 0;
2026-08-03T05:55:36+08:00,16083, 69;
2026-08-03T05:55:37+08:00,36901, 100;
2026-08-03T05:55:38+08:00,36903, 100;
2026-08-03T05:55:39+08:00,11073, 100;
2026-08-03T05:55:41+08:00,36977, 100;
2026-08-03T05:55:42+08:00,37043, 100;
2026-08-03T05:55:43+08:00,37175, 100;
2026-08-03T05:55:44+08:00,37175, 100;
2026-08-03T05:55:45+08:00,37175, 100;
2026-08-03T05:55:46+08:00,37175, 100;
2026-08-03T05:55:47+08:00,37175, 100;
2026-08-03T05:55:48+08:00,37175, 100;
2026-08-03T05:55:49+08:00,37175, 100;
2026-08-03T05:55:50+08:00,37175, 100;
2026-08-03T05:55:51+08:00,37175, 100;
2026-08-03T05:55:52+08:00,37175, 100;
2026-08-03T05:55:53+08:00,37175, 100;
2026-08-03T05:55:54+08:00,37175, 100;
2026-08-03T05:55:55+08:00,37175, 100;
