method,dataset,target,auc_mean,auc_sample_std,original_accuracy_mean,original_accuracy_sample_std,released_exact_unsupervised_label_balanced_accuracy_mean,released_exact_unsupervised_label_balanced_accuracy_sample_std,paper_intended_100_shot_unsupervised_label_balanced_accuracy_mean,paper_intended_100_shot_unsupervised_label_balanced_accuracy_sample_std,paper_intended_100_shot_supervised_accuracy_mean,paper_intended_100_shot_supervised_accuracy_sample_std,strict_label_free_random_100_shot_heldout_accuracy_mean,strict_label_free_random_100_shot_heldout_accuracy_sample_std,full_target_transductive_unsupervised_accuracy_mean,full_target_transductive_unsupervised_accuracy_sample_std,full_target_label_oracle_accuracy_mean,full_target_label_oracle_accuracy_sample_std,strict_label_free_accuracy_delta_mean,strict_label_free_accuracy_delta_sample_std
univfd,genimage,Mean,0.7993386215897818,0.001071564470362975,0.625828869047619,0.0003388219993184971,0.7343541666666666,0.0005850466820531078,0.7338269345238095,0.0014148449077134625,0.7273400297619048,0.003946960619390983,0.7332583221968032,0.0007125149759312361,0.7350416666666667,0.0008796745075475486,0.7364583333333334,0.0010143615134878398,0.10742945314918423,0.0010513369752497331
univfd,genimage,BigGAN,0.7422487291666666,0.001367220424206766,0.5444583333333333,0.0005303300858898523,0.679375,0.0007660323462854206,0.6786583333333334,0.00032998316455376433,0.6746583333333334,0.002415948169054085,0.6783823529411764,0.0005288445674420567,0.67925,0.0010606601717798615,0.6806666666666666,0.0016499158227685862,0.13392401960784311,0.001059174653331909
univfd,genimage,ADM,0.6242424027777778,0.0013544041137976957,0.513625,0.0006481812160876757,0.5913333333333334,0.00011785113019774494,0.5938833333333333,0.0010370899457403909,0.5756333333333332,0.003146625176280104,0.593546218487395,0.0009863842493863168,0.5944166666666666,0.001060660171779783,0.5972500000000001,0.00035355339059331333,0.07992121848739497,0.00033820303329864116
univfd,genimage,glide,0.8230700138888889,0.001186348402135675,0.615,0.0,0.7442083333333334,0.0005303300858899308,0.7431083333333334,0.002474873734152958,0.7414458333333334,0.004248533243629137,0.7428571428571429,0.0002971036895741786,0.744625,0.0007660323462854206,0.7452083333333333,0.0014731391274719688,0.1278571428571429,0.0002971036895741786
univfd,genimage,stable_diffusion_v_1_5,0.9504775664062499,0.0008057205558033938,0.78584375,0.0003093592167691001,0.8815625,0.0018561553006146792,0.879996875,0.002161095100001452,0.878846875,0.00244393781247604,0.8787704402515724,0.0010717782029306306,0.8823749999999999,0.0013258252147247483,0.8828750000000001,0.0009722718241315135,0.09292669025157235,0.0013811374196997306
univfd,genimage,VQDM,0.6830440694444444,0.0010106520088659953,0.52825,0.00035355339059323483,0.6326666666666667,0.0020034692133618997,0.6309916666666668,0.0016263455967291157,0.6161291666666666,0.012403831453314107,0.6319957983193276,0.0008616006997651336,0.6319166666666667,0.00047140452079097976,0.6337916666666668,0.001237436867076479,0.10374579831932768,0.0012151540903583683
univfd,genimage,wukong,0.9035219513888888,0.000903810138414167,0.70025,0.0007071067811865481,0.8275416666666666,0.0006481812160876757,0.8262083333333332,0.001107800623859038,0.8238708333333333,0.003541426462442589,0.8247268907563026,0.0013726190458327803,0.8280416666666667,0.0004124789556921858,0.8287916666666667,0.0007660323462854206,0.12447689075630258,0.0020797258270193286
univfd,genimage,Midjourney,0.8687656180555555,0.0008727956493168969,0.6933750000000001,0.001119585736878734,0.7837916666666667,0.00029462782549444087,0.7839416666666668,0.001166726188957832,0.7807958333333334,0.0005715779814591022,0.7825294117647059,0.00013072562341267938,0.7846666666666666,0.001060660171779783,0.786625,0.0006481812160876757,0.08915441176470584,0.0009888601134660545
univfd,aigc_detection_benchmark,Mean,0.7779372058823528,0.0010701853160675417,0.6192794117647058,0.0002703643575125245,0.7179558823529412,6.239177481055238e-05,0.7173088235294117,0.00098163059035312,0.7148191176470589,0.0013913365782759147,0.7174272445820433,0.0006786473751325982,0.7185735294117648,0.0014350108206432543,0.7240735294117646,0.0005615259732952069,0.09814783281733752,0.0009490117326451227
univfd,aigc_detection_benchmark,ProGAN,0.7727277499999999,0.0005674531919022322,0.66525,0.001767766952966331,0.717,0.007071067811865481,0.71775,0.00042426406871188177,0.714375,0.002439518395093556,0.7174473684210526,0.0018980234652902453,0.72075,0.00035355339059323483,0.72375,0.00035355339059323483,0.0521973684210526,0.00013025651232391426
univfd,aigc_detection_benchmark,StyleGAN,0.5960325,0.003965454828894199,0.5275000000000001,0.0021213203435596446,0.5785,0.0021213203435596446,0.572075,0.0018738329701443802,0.5597,0.009475230867899793,0.5728684210526316,0.0021213203435596446,0.572,0.004242640687119289,0.58125,0.003181980515339506,0.0453684210526315,0.0
univfd,aigc_detection_benchmark,BigGAN,0.760054,4.52548339959843e-05,0.532,0.0007071067811865481,0.698,0.0007071067811865481,0.6954499999999999,7.850462293418876e-17,0.6910999999999999,0.0030405591591021333,0.6958157894736843,0.0026423463928549875,0.6975,0.0021213203435596446,0.70175,0.001767766952966331,0.16381578947368425,0.0019352396116684393
univfd,aigc_detection_benchmark,CycleGAN,0.790789,0.0016963491680664774,0.6335,0.0021213203435596446,0.7185,0.0028284271247461927,0.715625,0.001025304832720538,0.7207,0.0009899494936612145,0.7186842105263158,0.0014886458551295627,0.71925,0.002474873734152879,0.7302500000000001,0.0017677669529664096,0.08518421052631575,0.0006326744884300818
univfd,aigc_detection_benchmark,StarGAN,0.83273175,0.0005815953275259772,0.70825,0.002474873734152879,0.7549999999999999,0.0007071067811865481,0.7574749999999999,0.0007424621202457931,0.7568250000000001,0.001237436867076479,0.7566842105263158,0.0019352396116683608,0.7565,0.0021213203435596446,0.762,0.0007071067811865481,0.0484342105263158,0.0005396341224845185
univfd,aigc_detection_benchmark,GauGAN,0.8600397500000001,0.0005073491155012174,0.5860000000000001,0.0007071067811865481,0.782,0.0035355339059327407,0.7812999999999999,0.00014142135623729392,0.7803,0.0013435028842545278,0.7810263157894737,0.0001116484391348173,0.78225,0.00035355339059323483,0.7847500000000001,0.001060660171779783,0.1950263157894736,0.0008187552203213654
univfd,aigc_detection_benchmark,StyleGAN2,0.558979,0.002368807716974909,0.502,0.0014142135623730963,0.54125,0.0045961940777125235,0.543925,0.003500178566873417,0.535825,0.0026516504294496535,0.5431315789473684,0.0023446172218290436,0.5435,0.0014142135623730963,0.5547500000000001,0.003181980515339506,0.04113157894736841,0.0009304036594559472
univfd,aigc_detection_benchmark,WFIR,0.6138575,0.0017097841969090154,0.53325,0.001767766952966331,0.5785,0.004949747468305837,0.5809,0.0004949747468306857,0.5827,0.00042426406871188177,0.5801052631578947,0.002977291710259204,0.58125,0.001060660171779783,0.5952500000000001,0.0017677669529664096,0.04685526315789473,0.0012095247572928727
univfd,aigc_detection_benchmark,ADM,0.61445975,0.0015446747635020368,0.5085,0.0014142135623730963,0.5855,0.0028284271247461927,0.584325,0.0018031222920257331,0.575175,0.0016617009357883608,0.5842368421052632,0.0002605130246476715,0.58525,0.002474873734152879,0.5905,0.0,0.07573684210526321,0.0011537005377254249
